date,NDCI_Values,Turbidity(NTA_Values),Shrinkage
2020-08-02,0.07,48,60.555234239444765
2020-08-03,0.07,48,59.88642230252969
2020-08-06,0.07,20.0,93.4065934065934
2020-08-07,0.07,20.0,97
2020-08-10,0.07,21.666666666666668,90.57071960297766
2020-08-11,0.07,21.666666666666668,97
2020-08-14,0.07,20.0,97
2020-08-15,0.07,23.333333333333332,97
2020-08-17,0.07,36.666666666666664,77.77777777777777
2020-08-18,0.07,30.0,82.99595141700405
2020-08-19,0.07,21.666666666666668,97
2020-08-21,0.07,30.0,82.12058212058211
2020-08-22,0.07,48,59.241706161137444
2020-08-23,0.07,48,64.83516483516483
2020-08-25,0.07,23.333333333333332,84.61538461538461
2020-08-26,0.07,48,60.7229446770994
2020-08-27,0.07,48,68.5175751400917
2020-08-29,0.07,48,57.93822545740704
2020-08-30,0.07,16.666666666666668,97
2020-09-02,0.07,16.666666666666668,97
2020-09-03,0.07,20.0,97
2020-09-06,0.07,36.666666666666664,81.19658119658119
2020-09-07,0.07,48,58.094625040231726
2020-09-10,0.07,48,64.47149972329828
2020-09-11,0.07,25.0,97
2020-09-13,0.07,48,57.7727711618925
2020-09-14,0.07,31.666666666666668,88.46153846153845
2020-09-15,0.07,48,61.61314413741598
2020-09-17,0.07,31.666666666666668,75.93688362919131
2020-09-18,0.07,18.333333333333332,97
2020-09-19,0.07,25.0,97
2020-09-21,0.07,33.333333333333336,85.3658536585366
2020-09-22,0.07,23.333333333333332,92.07459207459208
2020-09-23,0.07,48,57.84373107207753
2020-09-25,0.07,48,62.804284323271666
2020-09-26,0.07,48,59.89284347493303
2020-09-29,0.07,15.0,93.4065934065934
2020-09-30,0.07,48,73.02118171683388
2021-08-01,0.07,48,55.71681986776327
2021-08-03,0.07,48,68.3257918552036
2021-08-04,0.07,48,85.72752548656165
2021-08-05,0.07,48,82.15384615384616
2021-08-07,0.07,48,60.43956043956044
2021-08-08,0.07,48,56.271314892004554
2021-08-09,0.07,48,86.95652173913044
2021-08-11,0.07,45.0,78.08857808857809
2021-08-12,0.07,43.333333333333336,85.53386911595867
2021-08-13,0.07,48,85.28428093645485
2021-08-15,0.07,33.333333333333336,85.21870286576168
2021-08-16,0.07,31.666666666666668,97
2021-08-19,0.07,23.333333333333332,93.4065934065934
2021-08-20,0.07,48,85.66433566433567
2021-08-23,0.07,48,64.1025641025641
2021-08-24,0.07,33.333333333333336,93.79217273954116
2021-08-27,0.07,48,57.692307692307686
2021-08-28,0.07,48,56.64942432838311
2021-08-30,0.07,33.333333333333336,81.53846153846153
2021-08-31,0.07,26.666666666666668,91.97324414715719
2021-09-01,0.07,30.0,97
2021-09-03,0.07,48,56.84138869979578
2021-09-04,0.07,48,57.0158484731349
2021-09-05,0.07,48,88.71794871794872
2021-09-07,0.07,48,56.49867374005305
2021-09-08,0.07,23.333333333333332,97
2021-09-09,0.07,48,56.41025641025641
2021-09-11,0.07,28.333333333333332,87.4125874125874
2021-09-12,0.07,36.666666666666664,91.91655801825293
2021-09-15,0.07,35.0,80.55152394775037
2021-09-16,0.07,23.333333333333332,97
2021-09-19,0.07,18.333333333333332,97
2021-09-20,0.07,48,77.74140752864156
2021-09-27,0.07,48,71.94570135746606
2021-09-28,0.07,26.666666666666668,97
2021-09-30,0.07,31.666666666666668,81.93979933110367
2022-08-01,0.07,48,62.280359234673945
2022-08-02,0.07,23.333333333333332,97
2022-08-05,0.07,20.0,97
2022-08-06,0.07,48,72.35984354628422
2022-08-09,0.07,28.333333333333332,89.19803600654663
2022-08-10,0.07,28.333333333333332,97
2022-08-13,0.07,48,61.085972850678736
2022-08-14,0.07,48,65.75682382133995
2022-08-16,0.07,48,74.052812858783
2022-08-17,0.07,23.333333333333332,97
2022-08-18,0.07,33.333333333333336,97
2022-08-20,0.07,48,72.45080500894454
2022-08-21,0.07,48,56.57978385251112
2022-08-22,0.07,48,74.28068115091015
2022-08-24,0.07,48,53.84615384615385
2022-08-25,0.07,48,57.26495726495726
2022-08-26,0.07,48,55.911680911680904
2022-08-28,0.07,28.333333333333332,88.03418803418802
2022-08-29,0.07,48,57.27554179566563
2022-09-01,0.07,18.333333333333332,97
2022-09-02,0.07,35.0,91.51193633952255
2022-09-05,0.07,48,63.348416289592755
2022-09-06,0.07,26.666666666666668,97
2022-09-09,0.07,26.666666666666668,97
2022-09-12,0.07,48,56.61192739844425
2022-09-13,0.07,20.0,97
2022-09-14,0.07,48,86.17332035053553
2022-09-16,0.07,48,68.13186813186812
2022-09-17,0.07,48,81.19658119658119
2022-09-18,0.07,48,69.93006993006993
2022-09-20,0.07,48,70.13574660633483
2022-09-21,0.07,48,55.454047140507946
2022-09-22,0.07,48,59.50327699206623
2022-09-24,0.07,48,56.28973943398579
2022-09-25,0.07,48,55.769230769230774
2022-09-28,0.07,48,56.44637053087757
2022-09-29,0.07,48,55.58575699918457
2023-08-02,0.07,48,62.1301775147929
2023-08-03,0.07,28.333333333333332,93.84615384615384
2023-08-04,0.07,48,51.6826923076923
2023-08-06,0.07,48,62.57175660160734
2023-08-07,0.07,48,56.22999668910715
2023-08-08,0.07,48,85.32272325375774
2023-08-10,0.07,36.666666666666664,82.99595141700405
2023-08-11,0.07,23.333333333333332,97
2023-08-12,0.07,41.666666666666664,97
2023-08-14,0.07,48,56.72576989734702
2023-08-15,0.07,48,57.26495726495726
2023-08-18,0.07,48,55.306867711155604
2023-08-19,0.07,38.333333333333336,91.34615384615384
2023-08-22,0.07,48,64.51612903225805
2023-08-23,0.07,48,57.47126436781609
2023-08-26,0.07,48,55.96255596255596
2023-08-27,0.07,28.333333333333332,97
2023-08-29,0.07,48,56.88797894121087
2023-08-30,0.07,48,55.74940523394132
2023-08-31,0.07,33.333333333333336,97
2023-09-02,0.07,48,58.6080586080586
2023-09-03,0.07,48,70.85020242914979
2023-09-04,0.07,36.666666666666664,97
2023-09-06,0.07,48,55.55555555555556
2023-09-07,0.07,48,59.44055944055944
2023-09-08,0.07,48,57.48987854251012
2023-09-10,0.07,48,57.067481255206886
2023-09-11,0.07,48,58.2177385456074
2023-09-14,0.07,25.0,90.33989266547404
2023-09-15,0.07,26.666666666666668,97
2023-09-18,0.07,48,56.548267596426236
2023-09-19,0.07,26.666666666666668,97
2023-09-22,0.07,35.0,89.74358974358972
2023-09-23,0.07,35.0,97
2023-09-25,0.07,48,58.6080586080586
2023-09-26,0.07,23.333333333333332,97
2023-09-27,0.07,48,61.085972850678736
2023-09-29,0.07,18.333333333333332,97
2023-09-30,0.07,23.333333333333332,97
2024-08-03,0.07,31.666666666666668,85.79881656804734
2024-08-04,0.07,48,81.19658119658119
2024-08-07,0.07,25.0,93.91771019677996
2024-08-08,0.07,40.0,90.12629161882893
2024-08-11,0.07,48,55.84921407706218
2024-08-12,0.07,33.333333333333336,97
2024-08-14,0.07,43.333333333333336,78.75457875457874
2024-08-15,0.07,31.666666666666668,91.71597633136093
2024-08-16,0.07,48,55.894185054248446
2024-08-18,0.07,48,55.6385362210605
2024-08-19,0.07,48,55.959062396830625
2024-08-20,0.07,38.333333333333336,97
2024-08-20,0.07,38.333333333333336,97
2024-08-22,0.07,40.0,84.61538461538461
2024-08-23,0.07,48,69.36226166995397
2024-08-24,0.07,48,89.45548833189282
2024-08-26,0.07,36.666666666666664,85.69500674763833
2024-08-27,0.07,48,82.0203892493049
2024-08-30,0.07,48,67.3076923076923
2024-08-31,0.07,26.666666666666668,97
2024-09-03,0.07,25.0,93.91771019677996
2024-09-04,0.07,40.0,92.07459207459208
2024-09-07,0.07,48,56.25942684766214
2024-09-08,0.07,48,72.50945775535939
2024-09-10,0.07,23.333333333333332,88.46153846153845
2024-09-11,0.07,48,80.8124459809853
2024-09-12,0.07,48,87.58109360518999
2024-09-14,0.07,48,82.8819068255688
2024-09-15,0.07,35.0,91.09311740890688
2024-09-16,0.07,36.666666666666664,97
2024-09-18,0.07,20.0,97
2024-09-19,0.07,28.333333333333332,97
2024-09-20,0.07,48,73.54925775978407
2024-09-22,0.07,48,56.526806526806524
2024-09-23,0.07,48,55.7935735150925
2024-09-26,0.07,18.333333333333332,97
2024-09-27,0.07,23.333333333333332,97
2024-09-30,0.07,18.333333333333332,97
2020-08-01,0.07,36.666666666666664,82.65139116202947
2020-08-02,0.07,48,59.702388095523816
2020-08-04,0.07,48,58.41891106374734
2020-08-05,0.07,21.666666666666668,90.57071960297766
2020-08-06,0.07,25.0,97
2020-08-08,0.07,45.0,72.64957264957265
2020-08-09,0.07,23.333333333333332,93.4065934065934
2020-08-10,0.07,33.333333333333336,97
2020-08-12,0.07,23.333333333333332,85.6079404466501
2020-08-13,0.07,30.0,85.3658536585366
2020-08-14,0.07,30.0,97
2020-08-16,0.07,48,59.60206075679517
2020-08-17,0.07,21.666666666666668,97
2020-08-20,0.07,48,59.90556757820185
2020-08-21,0.07,26.666666666666668,97
2020-08-24,0.07,26.666666666666668,89.74358974358972
2020-08-25,0.07,20.0,97
2020-08-27,0.07,48,64.1025641025641
2020-08-28,0.07,43.333333333333336,76.92307692307692
2020-08-29,0.07,48,58.53615206963937
2020-08-31,0.07,41.666666666666664,72.3076923076923
2020-09-01,0.07,48,63.56275303643725
2020-09-02,0.07,48,75.82417582417582
2020-09-04,0.07,48,72.94429708222812
2020-09-05,0.07,48,60.0375234521576
2020-09-06,0.07,48,76.43622200584225
2020-09-08,0.07,48,55.23423944476576
2020-09-09,0.07,48,58.704453441295534
2020-09-10,0.07,48,89.3089960886571
2020-09-12,0.07,48,58.81895881895881
2020-09-13,0.07,48,58.293269230769226
2020-09-16,0.07,36.666666666666664,84.61538461538461
2020-09-17,0.07,23.333333333333332,92.76018099547511
2020-09-20,0.07,15.0,97
2020-09-21,0.07,33.333333333333336,90.90909090909089
2020-09-23,0.07,48,59.35971542907959
2020-09-24,0.07,48,59.78407557354926
2020-09-25,0.07,48,58.33333333333333
2020-09-27,0.07,48,60.92579986385296
2020-09-28,0.07,48,59.80861244019139
2020-09-29,0.07,26.666666666666668,97
2021-08-02,0.07,36.666666666666664,82.99595141700405
2021-08-03,0.07,28.333333333333332,97
2021-08-06,0.07,48,56.41025641025641
2021-08-07,0.07,48,58.16135084427767
2021-08-10,0.07,48,58.253417669863296
2021-08-11,0.07,38.333333333333336,91.71597633136093
2021-08-13,0.07,48,75.25083612040133
2021-08-14,0.07,26.666666666666668,91.97324414715719
2021-08-15,0.07,31.666666666666668,97
2021-08-17,0.07,25.0,93.91771019677996
2021-08-18,0.07,26.666666666666668,97
2021-08-19,0.07,48,66.15384615384615
2021-08-21,0.07,48,84.61538461538461
2021-08-22,0.07,45.0,83.710407239819
2021-08-23,0.07,45.0,90.43659043659044
2021-08-25,0.07,30.0,86.53846153846153
2021-08-26,0.07,31.666666666666668,92.5925925925926
2021-08-27,0.07,48,82.84023668639053
2021-08-29,0.07,28.333333333333332,88.03418803418802
2021-08-30,0.07,26.666666666666668,97
2021-09-02,0.07,23.333333333333332,91.71597633136093
2021-09-03,0.07,48,56.66818388711879
2021-09-06,0.07,48,69.6877380045697
2021-09-07,0.07,48,58.53823595759079
2021-09-09,0.07,38.333333333333336,79.67032967032965
2021-09-10,0.07,20.0,97
2021-09-11,0.07,33.333333333333336,93.79217273954116
2021-09-13,0.07,28.333333333333332,83.9160839160839
2021-09-14,0.07,48,56.54305853509041
2021-09-15,0.07,35.0,97
2021-09-17,0.07,25.0,88.46153846153845
2021-09-18,0.07,26.666666666666668,91.45299145299145
2021-09-19,0.07,28.333333333333332,97
2021-09-26,0.07,48,56.141439205955336
2021-09-29,0.07,16.666666666666668,97
2021-09-30,0.07,48,79.29724596391264
2022-08-01,0.07,48,82.65139116202947
2022-08-03,0.07,48,57.8453376861865
2022-08-04,0.07,23.333333333333332,97
2022-08-05,0.07,30.0,97
2022-08-07,0.07,48,56.70705006568384
2022-08-08,0.07,48,56.8026279770052
2022-08-09,0.07,38.333333333333336,97
2022-08-11,0.07,35.0,80.55152394775037
2022-08-12,0.07,23.333333333333332,97
2022-08-13,0.07,48,55.574015617212154
2022-08-15,0.07,33.333333333333336,83.45428156748912
2022-08-16,0.07,26.666666666666668,97
2022-08-19,0.07,21.666666666666668,97
2022-08-20,0.07,38.333333333333336,91.34615384615384
2022-08-23,0.07,25.0,93.91771019677996
2022-08-24,0.07,48,55.08861684633657
2022-08-26,0.07,48,53.50043215211754
2022-08-27,0.07,23.333333333333332,97
2022-08-28,0.07,31.666666666666668,97
2022-08-30,0.07,35.0,81.19658119658119
2022-08-31,0.07,25.0,97
2022-09-01,0.07,28.333333333333332,97
2022-09-03,0.07,48,55.81260844418738
2022-09-04,0.07,48,55.41069100391134
2022-09-05,0.07,48,60.30389363722697
2022-09-07,0.07,18.333333333333332,97
2022-09-08,0.07,31.666666666666668,89.25979680696662
2022-09-09,0.07,48,90.76923076923077
2022-09-11,0.07,48,54.92004202171121
2022-09-12,0.07,48,56.800815078960774
2022-09-15,0.07,40.0,85.11979823455233
2022-09-16,0.07,48,62.81407035175879
2022-09-19,0.07,48,52.982731554160125
2022-09-20,0.07,48,74.98057498057497
2022-09-22,0.07,31.666666666666668,84.61538461538461
2022-09-23,0.07,18.333333333333332,97
2022-09-24,0.07,48,57.01675373806522
2022-09-26,0.07,48,55.97150102644608
2022-09-27,0.07,23.333333333333332,97
2022-09-28,0.07,48,56.09756097560975
2022-09-30,0.07,48,69.88082340195017
2023-08-01,0.07,36.666666666666664,85.69500674763833
2023-08-02,0.07,48,82.65139116202947
2023-08-05,0.07,48,65.12820512820512
2023-08-06,0.07,48,58.03836266561202
2023-08-09,0.07,30.0,91.25188536953243
2023-08-10,0.07,48,69.84615384615384
2023-08-12,0.07,48,71.72557172557173
2023-08-13,0.07,48,55.079664211067325
2023-08-14,0.07,48,78.04331590739358
2023-08-16,0.07,48,73.62637362637362
2023-08-17,0.07,48,59.39629990262901
2023-08-18,0.07,48,54.825409096765874
2023-08-20,0.07,45.0,82.24852071005917
2023-08-21,0.07,48,62.83320639756283
2023-08-22,0.07,40.0,89.74358974358972
2023-08-24,0.07,48,55.08756373309688
2023-08-25,0.07,48,55.71531272465852
2023-08-26,0.07,48,58.35543766578248
2023-08-28,0.07,18.333333333333332,97
2023-08-29,0.07,48,56.84803001876172
2023-09-01,0.07,23.333333333333332,92.87054409005628
2023-09-02,0.07,48,57.6002944423997
2023-09-05,0.07,25.0,93.91771019677996
2023-09-06,0.07,48,56.32519139628145
2023-09-08,0.07,48,56.87973997833152
2023-09-09,0.07,48,63.097033685268975
2023-09-10,0.07,48,55.574015617212154
2023-09-12,0.07,48,57.02917771883289
2023-09-13,0.07,48,56.83587667393335
2023-09-14,0.07,40.0,92.07459207459208
2023-09-16,0.07,48,75.42457542457542
2023-09-17,0.07,48,73.71794871794872
2023-09-18,0.07,48,55.61704482567791
2023-09-20,0.07,48,63.27543424317618
2023-09-21,0.07,33.333333333333336,90.20979020979021
2023-09-22,0.07,48,78.46153846153847
2023-09-24,0.07,30.0,86.53846153846153
2023-09-25,0.07,48,58.67681806248359
2023-09-28,0.07,48,55.55555555555556
2023-09-29,0.07,26.666666666666668,97
2024-08-01,0.07,48,70.97541633624108
2024-08-02,0.07,48,77.70800627943484
2024-08-03,0.07,38.333333333333336,97
2024-08-05,0.07,48,57.95574288724974
2024-08-06,0.07,48,58.87811919983501
2024-08-07,0.07,33.333333333333336,97
2024-08-09,0.07,38.333333333333336,78.24933687002653
2024-08-10,0.07,28.333333333333332,97
2024-08-11,0.07,48,56.260640767683014
2024-08-13,0.07,48,78.67132867132867
2024-08-14,0.07,31.666666666666668,97
2024-08-17,0.07,48,56.694357535872264
2024-08-18,0.07,48,55.26711299357835
2024-08-21,0.07,25.0,97
2024-08-22,0.07,48,90.09483667017913
2024-08-24,0.07,48,73.29462989840349
2024-08-25,0.07,28.333333333333332,97
2024-08-26,0.07,48,90.06815968841285
2024-08-28,0.07,48,66.25727213962507
2024-08-29,0.07,23.333333333333332,97
2024-08-30,0.07,48,61.20401337792642
2024-09-01,0.07,33.333333333333336,82.20211161387631
2024-09-02,0.07,23.333333333333332,97
2024-09-03,0.07,38.333333333333336,97
2024-09-05,0.07,26.666666666666668,86.76207513416816
2024-09-06,0.07,48,55.59146735617324
2024-09-07,0.07,48,56.532864225171906
2024-09-09,0.07,38.333333333333336,81.4863102998696
2024-09-10,0.07,25.0,97
2024-09-13,0.07,40.0,87.64186633039091
2024-09-14,0.07,48,87.4125874125874
2024-09-17,0.07,21.666666666666668,97
2024-09-18,0.07,28.333333333333332,97
2024-09-20,0.07,48,56.966618287373
2024-09-21,0.07,21.666666666666668,97
2024-09-22,0.07,48,56.38673253352153
2024-09-24,0.07,48,56.213017751479285
2024-09-25,0.07,48,54.82204362801377
2024-09-26,0.07,28.333333333333332,97
2024-09-28,0.07,31.666666666666668,83.33333333333334
2024-09-29,0.07,20.0,97
2024-09-30,0.07,31.666666666666668,97
